,question
19897,"Which Score has a Year larger than 1980, and a Margin of victory of 2 strokes, and a Country of united states, and a Player of jim furyk?"
19898,"Which average Winner's share ($) has a Score of 281 (−7), and a Player of hale irwin, and a Year smaller than 1983?"
19899,What was the highest season with Barwa International Campos Team as champion?
19900,Who was third in Barwa International Campos Team?
19901,What year was the Beaudesert suburb club founded
19902,What year did the Nerang Suburb get founded?
19903,Who was the opponent when the Phillies played on April 28?
19904,What is the run rate for rank 4?
19905,Chinese title of 反正 卓文萱 had what released?
19906,Album # of 5th is what chinese title?
19907,Album # of 1st was released on what date?
19908,Album # of 3rd is what chinese title?
19909,English title of oxygenie of happiness has what release date?
19910,Which Score has a Home of quebec nordiques on april 16?
19911,WHich Record has a Visitor of quebec nordiques with a Score of 7–5?
19912,Who is the Visitor on april 8?
19913,When has Score of 4–5 and quebec nordiques as Visitor?
19914,WHo is the Visitor on april 14?
19915,Which Record has a Visitor of quebec nordiques with a Score of 4–5?
19916,"What's the highest December against the Pittsburgh Penguins in a game larger than 27, with less than 41 points?"
19917,What's the score for December of 30?
19918,What is the average number of games associated with 6 points and under 2 losses?
19919,What is the low point total when there are over 5 games?
19920,What was the share of votes when there were more than 56 electors and the year was more recent than 1950?
19921,"What is the total of electors when the share of votes was 11,0%?"
19922,Which Lost has Games larger than 7?
19923,"Which Points have a Lost smaller than 1, and Games larger than 7?"
19924,Which Lost has Points larger than 13?
19925,Which Points have a Drawn larger than 1?
19926,Which Diameter has a Year of Issue of 1977?
19927,Which Year of Issue has a Thickness of 1.42mm?
19928,Which Diameter has a Thickness of 1.3mm?
19929,Which party's candidate is Grech Louis Grech?
19930,"Which eu party has a 29th count of 40,529?"
19931,"Which candidate's party is pl when the 29th count is 39,250?"
19932,"What is the sport played in Iowa City on February 14, 2009?"
19933,"What is the series of the winning team in Iowa, for softball?"
19934,What is the score of the match that was against alberto berasategui?
19935,How many rebounds does Ann Wauters have?
19936,Who played 10 games?
19937,What is the total number of rebounds values for Ann Wauters?
19938,"Who did the Colts play against on September 25, 1966?"
19939,"What is the date of the game with 40,005 in attendance?"
19940,What is the lowest week number for the game that was at milwaukee county stadium?
19941,"After week 11, what was the Result on December 13, 1964?"
19942,"After week 8, what was the Attendance on November 1, 1964?"
19943,What is the alternate of the nation with Piotras Gerasimovici as the second?
19944,What is the alternate of the nation with hubert gründhammer as the second?
19945,What is the alternate of the nation with Erkki Lill as the skip?
19946,Who is the skip of the nation with Laurens van der Windt as the alternate?
19947,Who is the lead of the nation with Juha Pekaristo as the alternate?
19948,What is the highest round in which a player was picked for the Center position?
19949,What is John Flatters' nationality?
19950,What is Jeremy Duchesne's position?
19951,"When was the attendance 1,034?"
19952,what was the opponent on 26 october 1889?
19953,"1950 larger than 80, and a 1960 of 196, and a 1990 larger than 131 what is the lowest 1996[2]?"
19954,"1960 larger than 196, and a 1996[2] smaller than 726, and a 1980 larger than 125, and a 1990 larger than 848, what is the highest 1950?"
19955,"1980 smaller than 719, and a 1960 smaller than 205, and a 1996[2] smaller than 364, and a 1970 larger than 251 is what 1990 highest?"
19956,"1996[2] larger than 68, and a 1990 smaller than 352, and a 1970 larger than 105, and a 1950 of 119 is the sum of what 1980?"
19957,"1996[2] of 127, and a 1990 smaller than 120 is the sum of 1990?"
19958,Who was the opponent at the game with a result of w 14–6?
19959,What was the result of the game with a record of 2–3–2 before week 8?
19960,"What was the earliest week with a game at the Braves Field on October 2, 1932?"
19961,"What was the record at the game on November 13, 1932?"
19962,What role is Kevin Bishop the actor?
19963,What is the duration for mike walling as the actor?
19964,"What is the duration that has 3 for appearances, and james garret as the character?"
19965,What is the duration for nickolas grace as the actor?
19966,"Time ( ET ) of 1:00pm, and a Result of w 34–14 has what record?"
19967,Date of sun. oct. 1 has what location?
19968,Record of 3–3 has what result?
19969,Date of sun. oct. 29 has what time (et)?
19970,How many games have more than 10 points and more than 2 draws?
19971,What is the sum of losses that have points of 11 and more than 1 draw?
19972,What is the greatest points value that have draws under 2 and 2 losses?
19973,How many losses have draw values under 1?
19974,What's the lowest February for less than 57 points?
19975,What's the February for the game against the Montreal Canadiens?
19976,What's the record for Game 58?
19977,Which Winner has a Season of 2005–06?
19978,Which Runner-up played in the Season of 2000–01?
19979,What was the venue during the Season of 2010–11?
19980,"Which Winner has a Runner-up of larne, and a Season of 2003–04?"
19981,"Which Winner has a Score of 1 – 0, and a Season of 2011–12?"
19982,What position does Martin Rucker play?
19983,What was the lowest round for Paul Hubbard?
19984,What was the lowest round for a tight end position?
19985,What years did the person coach who had more than 31 ties?
19986,What is the average number of wins for the person who coached from 1951 to 1956 and had less than 174 losses and less than 6 ties?
19987,Who was the coach who had 215 losses?
19988,"What years did the person coach who had more than 1 tie, mess than 311 wins and 174 losses?"
19989,What years did the person coach who had less than 82 wins and more than 24 losses?
19990,"Which Points have a Game larger than 25, and an Opponent of dallas stars?"
19991,"Which Record has a December smaller than 28, and Points smaller than 38, and a Game smaller than 26, and a Score of 0–1 ot?"
19992,Which Opponent has a Game of 31?
19993,"Which Record has Points smaller than 40, and a Game larger than 25, and a Score of 2–0?"
19994,Episode of 9 in which performer 3 had?
19995,Date of 8 july 1994 involves which performer 1?
19996,Date of 15 july 1994 involves which performer 3?
19997,Performer 2 of chip esten has what performer 3?
19998,Which Name has a Pennant number of f82?
19999,What is the Launched which is on 3 may 2001?
20000,What is the Homeport that has a Laid down on 14 december 1985?
20001,"What kind of Launched has a Homeport (as of July 2013) of sold to chile, and a Pennant number of f80?"
20002,Which player had more than 25 events?
20003,"What amount of prize money was there when the rank was less than 7, there were more than 6 events, and the country was Fiji?"
20004,What is the least amount of prize money when there are 21 events?
20005,Which series episode has a netflix figure of s04e21?
20006,Which segment a's netflix figure is s04e24?
20007,How many episodes have a segment d that is goalie masks (part 2)?
20008,Which episode's segment b is s hacksaw?
20009,When was Lachlan Dale born?
20010,Which batter played P and was born 18 April 1984?
20011,"Which Surname has Bats of r, and a Position of p, and a DOB of 20 may 1989?"
20012,"Which Position has Throws of r, and a DOB of 12 february 1983?"
20013,How many throws did Needle have?
20014,"Which DOB has Bats of s, and a Position of inf?"
20015,What is the Lap Length of the race with a Grand Prix Fia Category?
20016,"What is the Race on July 30, 1950 with a Formula 2 Fia, non-championship?"
20017,What was his record when the match went for 3:05?
20018,How many rounds did the match go for the Bellator 72 event?
20019,What is the rating that has live viewers over 3.06 and DVR viewers of 5.36?
20020,What is the sum of the live viewers for episodes with share over 5?
20021,What is the sum of the ratings for episodes with live viewers of 2.96?
20022,"Which Callsign includes a frequency under 1210, Newsradio 740 KTRH, and webcasts with listen live?"
20023,"Which website includes a webcast of listen live, a frequency under 1050, and is licensed in the city of Monterrey?"
20024,The KTRH.com website includes which type of webcast?
20025,"Which website includes a webcast of listen live, a frequency under 680, and was licensed in the city of San Antonio."
20026,"Which long range AM station has the lowest frequency and includes a webcast of listen live, was licensed in the city of Monterrey, and uses the Callsign of xet?"
